Account Number,Meter ID,Facility,Service Start Date,Service End Date,Usage,Units,Tariff,Rate Code,Invoice Number,Estimated Read
ACC-DE01-001,MTR-DE01-MAIN,Frankfurt HQ Building A,01/03/2024,02/01/2024,142500,kWh,Commercial Medium Voltage,CMV-HT,INV-2024-0103,No
ACC-DE01-001,MTR-DE01-MAIN,Frankfurt HQ Building A,02/01/2024,03/04/2024,138200,kWh,Commercial Medium Voltage,CMV-HT,INV-2024-0201,No
ACC-DE01-001,MTR-DE01-MAIN,Frankfurt HQ Building A,03/04/2024,04/02/2024,125800,kWh,Commercial Medium Voltage,CMV-HT,INV-2024-0304,No
ACC-DE01-002,MTR-DE01-AUX,Frankfurt HQ Building B,01/05/2024,02/05/2024,28400,kWh,Commercial Small,CS-STD,INV-2024-0105,No
ACC-DE01-002,MTR-DE01-AUX,Frankfurt HQ Building B,02/05/2024,03/05/2024,31200,kWh,Commercial Small,CS-STD,INV-2024-0205,Yes
ACC-DE01-002,MTR-DE01-AUX,Frankfurt HQ Building B,03/05/2024,04/04/2024,29800,kWh,Commercial Small,CS-STD,INV-2024-0305,No
ACC-IN01-001,MTR-INMUM-MAIN,Mumbai Office Tower,01/01/2024,01/31/2024,89400,kWh,High Tension Commercial,HT-COM,INV-MUM-240101,No
ACC-IN01-001,MTR-INMUM-MAIN,Mumbai Office Tower,02/01/2024,02/29/2024,94100,kWh,High Tension Commercial,HT-COM,INV-MUM-240201,No
ACC-IN01-001,MTR-INMUM-MAIN,Mumbai Office Tower,03/01/2024,03/31/2024,91200,kWh,High Tension Commercial,HT-COM,INV-MUM-240301,No
ACC-IN01-002,MTR-INMUM-DC,Mumbai Data Centre,01/01/2024,01/31/2024,385000,MWh,Data Centre Bulk,DC-BULK,INV-MUM-DC-240101,No
ACC-IN01-002,MTR-INMUM-DC,Mumbai Data Centre,02/01/2024,02/29/2024,392000,MWh,Data Centre Bulk,DC-BULK,INV-MUM-DC-240201,No
ACC-UK01-001,MTR-UK01-MAIN,London Office,01/07/2024,02/06/2024,54200,kWh,I&C Half Hourly,HH-INC,INV-UK-240107,No
ACC-UK01-001,MTR-UK01-MAIN,London Office,02/06/2024,03/06/2024,58900,kWh,I&C Half Hourly,HH-INC,INV-UK-240206,No
ACC-UK01-001,MTR-UK01-MAIN,London Office,03/06/2024,04/08/2024,-120,kWh,I&C Half Hourly,HH-INC,INV-UK-240306,No
ACC-IN01-001,MTR-INMUM-MAIN,Mumbai Office Tower,01/01/2024,01/31/2024,89400,kWh,High Tension Commercial,HT-COM,INV-MUM-240101,No
